数据集名称,异常情况,指标名称
ba7e4d879f5b61c48192f115c8423009,出现异常,getDept success
e4aa88345de77d0282de38d940b97037,正常,<:staticStrategies:>
001af3fb6b4d143bcf025ea210b71ead,出现异常,getBackupEmp success
a907848786444e58de1b0b33066eeb4b,出现异常,"1- ((sum(increase(std_requests_total{job=""be/yid"",code=""200"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"", bizcode=""6000""}[1m]) or increase(std_requests_total{job=""be/yid"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",code=~""5..""}[1m]))  or  vector(0)) /  sum(increase(std_requests_total{job=""be/yid"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",environment=""rc""}[1m])))"
f81b9c4ebe46b2be968e5df3c2763c40,出现异常,strconv.ParseIn<:updateFanweiEmployee failed:>
f8897351dc9e1161240d12b88ea42cda,正常,callback status error
ad921d60486366258809553a3db49a4a,出现异常,unknown
f6cff71f7e921d382b6f5d810540d935,出现异常,"sum(rate(std_requests_total{job=""be/yid"",code=~""4.."",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b""}[1m]))"
aedcea2b95e6a07cb77a9a0da350ab7f,出现异常,loaded policy count:<:NUM:>
6e2baaf3b97dbeef01c0043275f9a0e7,出现异常,msg
4acf07478b589b05b894f55b9175ce0c,正常,"(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100"
f128e17cfd250649baef37f04d6c19b9,出现异常,get metadata from header
b1bd7c01c3ef58909e115c5936d39ad0,正常,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>
e611d3a6c1cb3b072ec85e6e0729e546,正常,no need compute team member perm
2ce5ac45d4275008d857abb5385cf1b3,正常,getPermTagsAndValues <:*:>
07e9862e5a4b108859e0970456b201f9,出现异常,"sum(rate(std_requests_total{job=""be/yid"",code=~""2.."",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b""}[1m]))"
a4a58c952a98e5616e4e5acf3cc4a933,正常,no need or no have tags
f2dadcd134558d1b8e2093704ddd6c40,出现异常,"(1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",grpc_code=~""Unknown|OK"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[1m]) or increase(std_grpc_server_handled_total{job=""be/yid"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",biz_code=""6000"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[1m]) or vector(0))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[1m])))*100"
5e0cf0fa2956ad7395caae46732f5151,出现异常,computeOwnObjectIDs end
bb5e2af9914d180eb0df7028d36d6427,出现异常,"sum(rate(std_grpc_server_handled_total{job=""be/yid"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources"", grpc_code=""OK""}[1m]))"
96083cc4cec914fa215aec6db9ebaef6,正常,Depts only have yunzhanghu
29d5b6a964a8d5845ce3fb98c304448d,正常,"container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"",metrics_path=""/metrics/cadvisor""} / 1048576"
ce08cf4f6a573556e44efd5992b77721,出现异常,rego exec input:<:MAP:>
08c100607575d9f4a1177c353c34f816,出现异常,"sum( increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"", grpc_code=""Unknown""}[1m]))"
65257bd580cf949de43defe113750529,出现异常,"sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"", node=""10.200.67.230"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8"
a47f48821fc1ffe7057a87438b541bec,出现异常,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>
e1fbf41c6fa96ef4c13a1fd87eb35a08,正常,"sum(rate(std_grpc_server_handled_total{job=""be/yid"", grpc_code=""OK"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"" ,grpc_method=~""GetEmployee|ListEmployee|GetDepartment|ListDepartment|GetTeam|ListTeam|ListSupervisor|IsDeptLeader|GetDepartTree|GetEmployeeDepartTree|ListUserNameByEmpID|ListAuthZTeamsByUserName|ListWeChatDeptIDByDeptID|ListJiesuanBusinessDeptMember|ListAllInternalEmployees|IsEmployeeBelongToDept|ListApproveAuthEmp|ListApproveAuthDept|ListApproveBackupEmp""}[1m]))"
19930931b560277fcf06ecc09f41e752,出现异常,AuthListByName <:<:ChineseInfo:>:>
addb8708ca4d6be7f10fb32c51d26c4b,出现异常,ClientEnvHandler is <:*:>
6ad2d13248c5eddd35b3dbb2c1dd6a53,出现异常,loadRegoMySQLInterval success
7023eefc5d78a5c7551373c93600b099,出现异常,infra.grpc.invoker
3415e4bc823ff9c472ee313e2c790cf9,出现异常,parse metadata
a12a3588ce6e1070ca3dd19d3b8acf4c,出现异常,Response=<:MAP:>
78e731027d8fd50ed642340b7c9a63b3,出现异常,message
8c5982b0c61908b0749da80058f22cfc,出现异常,"1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",environment=""rc"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",grpc_code=~""Unknown|OK""}[1m]) or increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"",instance=""{1}"",grpc_code!~""Unknown|OK""}[1m]))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",instance=""{2}"",environment=""rc""}[1m])) or vector(1)"
4b20aff7926272178b85218712b15cc7,出现异常,<:GIN:>
b72c0da983fbc9af5a8a25a994401e13,出现异常,"irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"",metrics_path=""/metrics/cadvisor""} [1m]) * 100"
c1066526e3b973229933e0fb9d037bbf,出现异常,approve callback start
e65323282d67507ec55574663051a631,出现异常,getBackupEm<:updateFanweiEmployee failed:>
6326114b91842880149e9876a90e7bca,出现异常,superiorAndDeputy empty
f9f1a31ee0a51f3a711bc831d1744c4f,出现异常,"sum( increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"", grpc_code=""OK""}[1m]))"
e476d2894bb5e9819c8fefb74ac0d59f,出现异常,approve status error
853015ced4aeeb33a38c6866d33110a3,出现异常,<:REQ:>
190fec651a741dc908508ed5a84bb5e6,正常,build <:*:>
acc9b27a031b8d0328379149f0dfaff9,出现异常,DeleteFieldValues <:REQ:>
8df10c3d5b13f5e9968401e99475aa04,出现异常,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>
e937d159618b42e3d8ca2cad01913f7e,出现异常,svc.ApproveCallback failed
62920d13ca9ff31950a65b98312bcfe0,出现异常,<:list modules:>
6300af06fd5be620cb7ab2f3b3d2c52c,出现异常,parseDataReportFlag ok
aaf9843ff516221d7f79476f2dcc0b98,正常,"sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"", node=""10.200.67.230"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8"
